"","Products","Price","Rating","Total_Rater"
"1","","","",""
"2","","86.","3.8 out of 5 stars","263"
"3","","169.","3.7 out of 5 stars","174"
"4","","309.","4.3 out of 5 stars","4,698"
"5","","99.","4.1 out of 5 stars","2,124"
"6","","97.","4.3 out of 5 stars","413"
"7","Motorola Think Phone | 2023 | Unlocked | Made for US 8/256GB | 50MP Camera | Volcanic Gray, 6.6 inches","397.","4.2 out of 5 stars","1,024"
"8","Motorola Think Phone | 2023 | Unlocked | Made for US 8/256GB | 50MP Camera | Volcanic Gray, 6.6 inches","397.","4.2 out of 5 stars","1,024"
"9","OnePlus 9 Winter Mist, 5G Unlocked Android Smartphone U.S Version, 8GB RAM+128GB Storage, 120Hz Fluid Display, Hasselblad Triple Camera, 65W Ultra Fast Charge, 15W Wireless Charge, with Alexa Built-in","519.","4.2 out of 5 stars","446"
"10","TCL 40XL 2023 Unlocked Cell Phone 6GB + 256GB, 6.75 inch Display Mobile Phone, Smartphone Android 13, 50MP AI Camera, 5000 mAh, 4G LTE, US Version, Dark Gray","159.","4.0 out of 5 stars","820"
"11","OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray","249.","4.3 out of 5 stars","552"
"12","UMIDIGI G3 MAX 8+128GB Android 13 Unlocked Cell Phone,50MP Ultra-Clear AI Camera Smartphone,6.6-inch FHD Display Android Phone,5150mAh Massive Battery Mobile Phone Support Expandable Up to 1TB","139.","4.0 out of 5 stars","396"
"13","","","",""
"14","","99.","3.8 out of 5 stars","2,039"
"15","","49.","3.4 out of 5 stars","64"
"16","","109.","4.3 out of 5 stars","102"
"17","","48.","4.0 out of 5 stars","642"
"18","","374.","4.4 out of 5 stars","1,784"
"19","","499.","4.2 out of 5 stars","706"
"20","","","",""
"21","","158.","3.6 out of 5 stars","11"
"22","","177.","4.3 out of 5 stars","3,636"
"23","","141.","4.3 out of 5 stars","1,095"
"24","","379.","4.3 out of 5 stars","4,372"
"25","","86.","3.8 out of 5 stars","263"
"26","","99.","3.5 out of 5 stars","350"
"27","","139.","4.7 out of 5 stars","5"
"28","","159.","4.3 out of 5 stars","840"
"29","","159.","4.0 out of 5 stars","2,021"
"30","","99.","3.7 out of 5 stars","287"
"31","","189.","4.4 out of 5 stars","4"
"32","TCL 40XL 2023 Unlocked Cell Phone 6GB + 256GB, 6.75 inch Display Mobile Phone, Smartphone Android 13, 50MP AI Camera, 5000 mAh, 4G LTE, US Version, Dark Gray","159.","4.0 out of 5 stars","820"
"33","TCL 40XL 2023 Unlocked Cell Phone 6GB + 256GB, 6.75 inch Display Mobile Phone, Smartphone Android 13, 50MP AI Camera, 5000 mAh, 4G LTE, US Version, Dark Gray","159.","4.0 out of 5 stars","820"
"34","I14 Pro MAX Smartphone Unlocked Cell Phone, Battery 6800mAh 6.82"" HD Screen Unlocked Phones, 6+256GB Android 13 with 128GB Memory Card, Dual SIM/Fingerprint Lock/Face ID/GPS (Blue)","158.","4.1 out of 5 stars","20"
"35","[3+6 Pack] Screen Protector for Samsung Galaxy A54 5G, 3 Pack HD Tempered Glass Screen Protector + 6 Pack Camera Lens Protector, 9H Hardness, Anti-Scratch, Easy Installation, Bubble Free","9.","4.4 out of 5 stars","1,136"
"36","Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Sage Green, 73.95 x 170.82 x 7.35mm","499.","4.2 out of 5 stars","142"
"37","","","",""
"38","","","",""
"39","","","",""
"40","","","",""
"41","","","",""
