"","id","title","author_id","description","content","date"
"1","1","Counterfactual Generation with Identifiability Guarantees","Hanqi Yan, Lingjing Kong, Lin Gui, Yuejie Chi, Eric Xing, Yulan He, Kun Zhang","Machine Learning (cs.LG)","Counterfactual generation lies at the core of various machine learning tasks, including image translation and controllable text generation. This generation process usually requires the identification of the disentangled latent representations, such as content and style, that underlie the observed data. However, it becomes more challenging when faced with a scarcity of paired data and labeling information. Existing disentangled methods crucially rely on oversimplified assumptions, such as assuming independent content and style variables, to identify the latent variables, even though such assumptions may not hold for complex data distributions. For instance, food reviews tend to involve words like tasty, whereas movie reviews commonly contain words such as thrilling for the same positive sentiment. This problem is exacerbated when data are sampled from multiple domains since the dependence between content and style may vary significantly over domains. In this work, we tackle the domain-varying dependence between the content and the style variables inherent in the counterfactual generation task. We provide identification guarantees for such latent-variable models by leveraging the relative sparsity of the influences from different latent variables. Our theoretical insights enable the development of a doMain AdapTive counTerfactual gEneration model, called (MATTE). Our theoretically grounded framework achieves state-of-the-art performance in unsupervised style transfer tasks, where neither paired data nor style labels are utilized, across four large-scale datasets. Code is available at this https URL","Fri, 23 Feb 2024 13:24:19 UTC (1,420 KB)"
"2","2","Recommender for Its Purpose: Repeat and Exploration in Food Delivery Recommendations","Jiayu Li, Aixin Sun, Weizhi Ma, Peijie Sun, Min Zhang","Information Retrieval (cs.IR)","Recommender systems have been widely used for various scenarios, such as e-commerce, news, and music, providing online contents to help and enrich users' daily life. Different scenarios hold distinct and unique characteristics, calling for domain-specific investigations and corresponding designed recommender systems. Therefore, in this paper, we focus on food delivery recommendations to unveil unique features in this domain, where users order food online and enjoy their meals shortly after delivery. We first conduct an in-depth analysis on food delivery datasets. The analysis shows that repeat orders are prevalent for both users and stores, and situations' differently influence repeat and exploration consumption in the food delivery recommender systems. Moreover, we revisit the ability of existing situation-aware methods for repeat and exploration recommendations respectively, and find them unable to effectively solve both tasks simultaneously. Based on the analysis and experiments, we have designed two separate recommendation models -- ReRec for repeat orders and ExpRec for exploration orders; both are simple in their design and computation. We conduct experiments on three real-world food delivery datasets, and our proposed models outperform various types of baselines on repeat, exploration, and combined recommendation tasks. This paper emphasizes the importance of dedicated analyses and methods for domain-specific characteristics for the recommender system studies.","Thu, 22 Feb 2024 10:39:03 UTC (598 KB)"
"3","3","Mapping the Landscape of Independent Food Delivery Platforms in the United States","Yuhan Liu, Amna Liaqat, Owen Xingjian Zhang, Mariana Consuelo Fernández Espinosa, Ankhitha Manjunath","Human-Computer Interaction (cs.HC)","Beyond the well-known giants like Uber Eats and DoorDash, there are hundreds of independent food delivery platforms in the United States. However, little is known about the sociotechnical landscape of these ``indie'' platforms. In this paper, we analyzed these platforms to understand why they were created, how they operate, and what technologies they use. We collected data on 495 indie platforms and detailed survey responses from 29 platforms. We found that personalized, timely service is a central value of indie platforms, as is a sense of responsibility to the local community they serve. Indie platforms are motivated to provide fair rates for restaurants and couriers. These alternative business practices differentiate them from mainstream platforms. Though indie platforms have plans to expand, a lack of customizability in off-the-shelf software prevents independent platforms from personalizing services for their local communities. We show that these platforms are a widespread and longstanding fixture of the food delivery market. We illustrate the diversity of motivations and values to explain why a one-size-fits-all support is insufficient, and we discuss the siloing of technology that inhibits platforms' growth. Through these insights, we aim to promote future HCI research into the potential development of public-interest technologies for local food delivery.","Wed, 21 Feb 2024 22:44:46 UTC (4,585 KB)"
"4","4","Modeling and Simulation of the Evaporation and Drying of a Two Component Slurry Droplet","Anurag Bhattacharjee, Aswin Gnanaskandan","Fluid Dynamics (physics.flu-dyn)","In this paper, we present a mathematical model and numerical simulation of the evaporation and drying process of a liquid droplet containing suspended solids. This type of drying is commonly encountered in manufacturing processes such as spray drying and spray pyrolysis, which have applications in industries such as food and pharmaceuticals. The proposed model consists of three stages. In the first stage, we consider the evaporation of the liquid in the presence of solid particles. The second stage involves the formation of a porous crust around a wet core region, with liquid evaporation occurring through the crust layer. Finally, the third stage involves sensible heating of the dry particle to reach ambient temperature. To solve the physical models governing these processes, we use a finite difference method with a moving grid methodology. This allows us to account for the moving interface between the crust and the wet core region of the droplet. In this study, we use a non-uniform temperature model that takes into account the spatial variation of temperature inside the droplet. We also assess the validity of a uniform temperature model. To validate our model, we compare it with experimental data on the drying of a single droplet containing colloidal silica particles. We find that our model agrees well with the experimental results. We rigorously examine assumptions made in the model, such as the shape of the solid particles and the continuum flow of vapor through the porous crust. In addition, we analyze the effects of drying conditions, such as the velocity, temperature, relative humidity, and concentration of solid particles, on the drying rate and the final morphology of the particle. Finally, we develop a regime map that can be used to determine whether the final particle will be solid or hollow, based on the operating conditions.","Wed, 21 Feb 2024 02:44:08 UTC (21,381 KB)"
"5","5","Evaluation of Country Dietary Habits Using Machine Learning Techniques in Relation to Deaths from COVID-19","María Teresa García-Ordás, Natalia Arias, Carmen Benavides, Oscar García-Olalla, José Alberto Beníte","Machine Learning (cs.LG)","COVID-19 disease has affected almost every country in the world. The large number of infected people and the different mortality rates between countries has given rise to many hypotheses about the key points that make the virus so lethal in some places. In this study, the eating habits of 170 countries were evaluated in order to find correlations between these habits and mortality rates caused by COVID-19 using machine learning techniques that group the countries together according to the different distribution of fat, energy, and protein across 23 different types of food, as well as the amount ingested in kilograms. Results shown how obesity and the high consumption of fats appear in countries with the highest death rates, whereas countries with a lower rate have a higher level of cereal consumption accompanied by a lower total average intake of kilocalories.","Mon, 19 Feb 2024 21:32:56 UTC (1,281 KB)"
"6","6","Explaining the emergence of land-use frontiers","Patrick Meyfroidt, Dilini Abeygunawardane, Matthias Baumann, Adia Bey, Ana Buchadas, Cristina Chiare","General Economics (econ.GN)","Land use expansion is linked to major sustainability concerns including climate change, food security and biodiversity loss. This expansion is largely concentrated in so-called frontiers, defined here as places experiencing marked transformations due to rapid resource exploitation. Understanding the mechanisms shaping these frontiers is crucial for sustainability. Previous work focused mainly on explaining how active frontiers advance, in particular into tropical forests. Comparatively, our understanding of how frontiers emerge in territories considered marginal in terms of agricultural productivity and global market integration remains weak. We synthesize conceptual tools explaining resource and land-use frontiers, including theories of land rent and agglomeration economies, of frontiers as successive waves, spaces of territorialization, friction, and opportunities, anticipation and expectation. We then propose a new theory of frontier emergence, which identifies exogenous pushes, legacies of past waves, and actors anticipations as key mechanisms by which frontiers emerge. Processes of abnormal rent creation and capture and the built-up of agglomeration economies then constitute key mechanisms sustaining active frontiers. Finally, we discuss five implications for the governance of frontiers for sustainability. Our theory focuses on agriculture and deforestation frontiers in the tropics, but can be inspirational for other frontier processes including for extractive resources, such as minerals.","Mon, 19 Feb 2024 19:50:29 UTC (565 KB)"
"7","7","A literatura das receitas comerciais em aeroportos: discussões e principais descobertas","Murillo Massaretto, Alessandro V. M. Oliveira","General Economics (econ.GN)","The exploration of existing commercial opportunities has been increasing the share of commercial (non-aeronautical) revenues in the total revenues of airports worldwide. These revenues, also called commercial, non-aeronautical, or non-tariff revenues, come from rentals, duty-free shops, food and beverage sales, parking, advertising, etc. In other words, everything that is not the main business of the airport. Consequently, the dependence on commercial revenues has also become increasingly important, and airport managers are interested in understanding how to improve their financial results with this new revenue source, as it not only improves financial outcomes but also optimizes passengers' time and money consumption options at airports. Therefore, this chapter seeks to discuss the main determinants of commercial revenues at national airports, analyzing the possible impacts of the behavior of passengers from low-cost carriers (LCC) on these revenues, combined with other determining factors.","Sat, 17 Feb 2024 20:22:17 UTC (479 KB)"
"8","8","From parcels to people: development of a spatially explicit risk indicator to monitor residential pesticide exposure in agricultural areas","Francesco Galimberti (1), Stephanie Bopp (1), Alessandro Carletti (1), Rui Catarino (1), Martin Clav","Quantitative Methods (q-bio.QM)","The increase in global pesticide use has mirrored the rising demand for food over the last decades, resulting in a boost in crop yields. However, concerns about the impact of pesticides on biodiversity, ecosystems, and human health, especially for populations residing close to cultivated areas, are growing. This study investigates how exposure and possible risks to residents can be estimated at high spatial granularity based on plant protection product data. The complexities of such analysis were explored in France, where relevant data with good granularity are publicly available. Integrating sets of spatial datasets and exposure assessment methodologies, we have developed an indicator to monitor the levels of pesticide risk faced by residents. By spatialising pesticide sales data according to their authorization on specific crops, we developed a detailed map depicting potential pesticide loads at parcel level across France. This spatial distribution served as the basis for an exposure and risk assessment, modelled following the European Food Safety Authority's guidelines. Combining the risk map with population distribution data, we have developed an indicator that allows to monitor patterns in non-dietary exposure to pesticides. Our results show that in France, on average, 13% of people might be exposed to pesticides due to living in the proximity to treated crops. This exposure is in the lower range for 34%, moderate range for 40% and higher range for 25% of the exposed population. The risk evaluation is based on worst case assumptions and values should not be taken as a regulatory risk assessment but as indicator to use, for example, for monitoring time trends. The purpose of this indicator is to demonstrate that more granular pesticide data can improve risk reduction strategies. Harmonized and high-resolution data can help in identifying regions where to focus on sustainable farming.","Fri, 16 Feb 2024 12:05:21 UTC (29,118 KB)"
"9","9","Cloud Kitchen: Using Planning-based Composite AI to Optimize Food Delivery Process","Slavomír Švancár, Lukáš Chrpa, Filip Dvořák, Tomáš Balyo","Artificial Intelligence (cs.AI)","The global food delivery market provides many opportunities for AI-based services that can improve the efficiency of feeding the world. This paper presents the Cloud Kitchen platform as a decision-making tool for restaurants with food delivery and a simulator to evaluate the impact of the decisions. The platform consists of a Technology-Specific Bridge (TSB) that provides an interface for communicating with restaurants or the simulator. TSB uses a PDDL model to represent decisions embedded in the Unified Planning Framework (UPF). Decision-making, which concerns allocating customers' orders to vehicles and deciding in which order the customers will be served (for each vehicle), is done via a Vehicle Routing Problem with Time Windows (VRPTW), an efficient tool for this problem. We show that decisions made by our platform can improve customer satisfaction by reducing the number of delayed deliveries using a real-world historical dataset.","Fri, 16 Feb 2024 14:31:33 UTC (1,535 KB)"
"10","10","Intelligent Agricultural Greenhouse Control System Based on Internet of Things and Machine Learning","Cangqing Wang","Systems and Control (eess.SY)","This study endeavors to conceptualize and execute a sophisticated agricultural greenhouse control system grounded in the amalgamation of the Internet of Things (IoT) and machine learning. Through meticulous monitoring of intrinsic environmental parameters within the greenhouse and the integration of machine learning algorithms, the conditions within the greenhouse are aptly modulated. The envisaged outcome is an enhancement in crop growth efficiency and yield, accompanied by a reduction in resource wastage. In the backdrop of escalating global population figures and the escalating exigencies of climate change, agriculture confronts unprecedented challenges. Conventional agricultural paradigms have proven inadequate in addressing the imperatives of food safety and production efficiency. Against this backdrop, greenhouse agriculture emerges as a viable solution, proffering a controlled milieu for crop cultivation to augment yields, refine quality, and diminish reliance on natural resources [b1]. Nevertheless, greenhouse agriculture contends with a gamut of challenges. Traditional greenhouse management strategies, often grounded in experiential knowledge and predefined rules, lack targeted personalized regulation, thereby resulting in resource inefficiencies. The exigencies of real-time monitoring and precise control of the greenhouse's internal environment gain paramount importance with the burgeoning scale of agriculture. To redress this challenge, the study introduces IoT technology and machine learning algorithms into greenhouse agriculture, aspiring to institute an intelligent agricultural greenhouse control system conducive to augmenting the efficiency and sustainability of agricultural production.","Wed, 14 Feb 2024 09:07:00 UTC (878 KB)"
